country,crop,year_2022,actual_yield_2022,year_2023,predicted_yield_2023,,,
Afghanistan,Apples,2022,10600,2023,10230.37286,,,
Afghanistan,Apricots,2022,7527.9,2023,6313.627545,,,
Afghanistan,Barley,2022,1375,2023,1518.838291,,,
Afghanistan,Cantaloupes and other melons,2022,10663.5,2023,12126.06726,,,
Afghanistan,Figs,2022,4150.5,2023,5042.302058,,,Candidate  no.291772
Afghanistan,Grapes,2022,9784.9,2023,11509.15886,,,
Afghanistan,Linseed,2022,906.3,2023,1188.459562,,,
Afghanistan,Maize (corn),2022,2237.4,2023,2017.995077,,,
Afghanistan,Millet,2022,1318,2023,1392.598353,,,
Afghanistan,Mustard seed,2022,1033,2023,931.1368584,,,
Afghanistan,Olives,2022,3483.1,2023,3636.072961,,,
Afghanistan,Oranges,2022,6376.5,2023,6352.280566,,,
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2022,4115.8,2023,5314.364076,,,
Afghanistan,"Other citrus fruit, n.e.c.",2022,9432.4,2023,6606.523294,,,
Afghanistan,"Other fruits, n.e.c.",2022,7555.5,2023,7663.848643,,,
Afghanistan,Other pulses n.e.c.,2022,591.4,2023,812.8372966,,,
Afghanistan,Other stone fruits,2022,7049.1,2023,5416.980805,,,
Afghanistan,Peaches and nectarines,2022,8782.7,2023,7124.587251,,,
Afghanistan,Pears,2022,8000,2023,7653.871634,,,
Afghanistan,Plums and sloes,2022,8588.9,2023,9315.880137,,,
Afghanistan,Rice,2022,4625,2023,5105.208297,,,
Afghanistan,"Seed cotton, unginned",2022,1336.7,2023,1388.782097,,,
Afghanistan,Sesame seed,2022,857.1,2023,657.3409892,,,
Afghanistan,Sugar beet,2022,20000,2023,15488.87173,,,
Afghanistan,Sugar cane,2022,29000,2023,28145.64058,,,
Afghanistan,Sunflower seed,2022,1188.3,2023,1142.240398,,,
Afghanistan,Watermelons,2022,14709.6,2023,16096.83025,,,
Afghanistan,Wheat,2022,2125,2023,2326.353027,,,
Afghanistan,"Roots and Tubers, Total",2022,15875,2023,21129.7034,,,
Afghanistan,"Treenuts, Total",2022,1788.2,2023,1721.911335,,,
Afghanistan,Vegetables Primary,2022,11200.6,2023,10274.39789,,,
Albania,Apples,2022,24137.2,2023,24214.35573,,,
Albania,Apricots,2022,15109.9,2023,15110.36575,,,
Albania,Barley,2022,3397.2,2023,3298.387091,,,
Albania,"Beans, dry",2022,1675.5,2023,1759.565578,,,
Albania,"Broad beans and horse beans, dry",2022,1204.1,2023,1254.273346,,,
Albania,Cantaloupes and other melons,2022,31788.1,2023,33586.43369,,,
Albania,Cherries,2022,10682.9,2023,11394.95368,,,
Albania,Dates,2022,40387.7,2023,27355.84007,,,
Albania,Figs,2022,15477.6,2023,14869.84121,,,
Albania,Grapes,2022,20454.7,2023,19806.92224,,,
Albania,Lemons and limes,2022,68023.5,2023,39201.50968,,,
Albania,Maize (corn),2022,7090.1,2023,6353.523774,,,
Albania,Oats,2022,2270.3,2023,1964.406336,,,
Albania,Olives,2022,3187.6,2023,2811.612755,,,
Albania,Oranges,2022,59558.3,2023,55138.74995,,,
Albania,"Other citrus fruit, n.e.c.",2022,26630.3,2023,19014.7214,,,
Albania,"Other fruits, n.e.c.",2022,25902.4,2023,31875.91288,,,
Albania,Other pulses n.e.c.,2022,609.5,2023,600.6026128,,,
Albania,Peaches and nectarines,2022,17219.9,2023,18284.33869,,,
Albania,Pears,2022,18860.2,2023,20501.07504,,,
Albania,Plums and sloes,2022,16951.2,2023,16698.47185,,,
Albania,Quinces,2022,58571.4,2023,58923.28488,,,
Albania,Rye,2022,2372.4,2023,2175.042906,,,
Albania,"Seed cotton, unginned",2022,1127.3,2023,1240.08646,,,
Albania,Sour cherries,2022,5572.4,2023,5711.06713,,,
Albania,Soya beans,2022,2870.3,2023,2587.138131,,,
Albania,Strawberries,2022,48051.9,2023,45286.00314,,,
Albania,Sugar beet,2022,32250.4,2023,33385.87093,,,
Albania,Sunflower seed,2022,2369.4,2023,2357.334379,,,
Albania,"Tangerines, mandarins, clementines",2022,32984.1,2023,33502.37408,,,
Albania,Vetches,2022,281.8,2023,295.4139073,,,
Albania,Watermelons,2022,46946.7,2023,49668.26192,,,
Albania,Wheat,2022,4296.3,2023,4176.27061,,,
Albania,"Roots and Tubers, Total",2022,26505.9,2023,30412.87291,,,
Albania,"Treenuts, Total",2022,4876,2023,5095.041395,,,
Albania,Vegetables Primary,2022,29554.9,2023,32703.06806,,,
Algeria,Apples,2022,16833,2023,18673.7871,,,
Algeria,Apricots,2022,6922.3,2023,7332.492604,,,
Algeria,Bananas,2022,24649.3,2023,26447.42792,,,
Algeria,Barley,2022,1561,2023,1338.806788,,,
Algeria,"Beans, dry",2022,936.5,2023,1001.795975,,,
Algeria,"Broad beans and horse beans, dry",2022,1227.7,2023,1397.937384,,,
Algeria,Cherries,2022,2932.8,2023,3216.747166,,,
Algeria,"Chick peas, dry",2022,1122.8,2023,1085.057867,,,
Algeria,Dates,2022,7085.8,2023,8962.73284,,,
Algeria,Figs,2022,2874.5,2023,2904.793862,,,
Algeria,Grapes,2022,9693,2023,10251.87811,,,
Algeria,"Groundnuts, excluding shelled",2022,2913.2,2023,2610.444582,,,
Algeria,Lemons and limes,2022,21056.5,2023,26099.15457,,,
Algeria,"Lentils, dry",2022,957.3,2023,903.663655,,,
Algeria,Locust beans (carobs),2022,4834.7,2023,4434.768609,,,
Algeria,Maize (corn),2022,4595,2023,4811.947212,,,
Algeria,Oats,2022,1312.5,2023,1254.71972,,,
Algeria,Olives,2022,1798.4,2023,1875.160652,,,
Algeria,Oranges,2022,24623,2023,32014.46255,,,
Algeria,"Other citrus fruit, n.e.c.",2022,1310.9,2023,1527.247568,,,
Algeria,"Other fruits, n.e.c.",2022,8879.1,2023,11114.69113,,,
Algeria,Other pulses n.e.c.,2022,1138.8,2023,1137.798302,,,
Algeria,Other stone fruits,2022,14079.5,2023,10073.66075,,,
Algeria,Peaches and nectarines,2022,11500.2,2023,12364.5287,,,
Algeria,Pears,2022,8408.4,2023,10704.6877,,,
Algeria,"Peas, dry",2022,995.9,2023,1055.319108,,,
Algeria,Plums and sloes,2022,8355.5,2023,8525.132562,,,
Algeria,Pomelos and grapefruits,2022,25213.8,2023,23011.831,,,
Algeria,Quinces,2022,6980.7,2023,7200.892998,,,
Algeria,Rape or colza seed,2022,1943.9,2023,2327.174053,,,
Algeria,Rice,2022,1789.9,2023,1813.323664,,,
Algeria,"Seed cotton, unginned",2022,272.8,2023,361.3184599,,,
Algeria,Sorghum,2022,7160.7,2023,5427.085315,,,
Algeria,Sunflower seed,2022,447.6,2023,493.7603874,,,
Algeria,"Tangerines, mandarins, clementines",2022,20761.9,2023,22375.61011,,,
Algeria,Triticale,2022,1731.3,2023,1779.43418,,,
Algeria,Vetches,2022,502.2,2023,696.1735982,,,
Algeria,Watermelons,2022,37158.1,2023,42817.47163,,,
Algeria,Wheat,2022,1646.8,2023,1868.612693,,,
Algeria,"Roots and Tubers, Total",2022,32975.1,2023,37461.00813,,,
Algeria,"Treenuts, Total",2022,1717,2023,1907.283172,,,
Algeria,Vegetables Primary,2022,26012.9,2023,33208.73621,,,
Angola,Avocados,2022,11939,2023,10524.63494,,,
Angola,Bananas,2022,26665,2023,23397.08249,,,
Angola,"Beans, dry",2022,511,2023,600.233038,,,
Angola,Castor oil seeds,2022,255.3,2023,302.3590173,,,
Angola,"Groundnuts, excluding shelled",2022,643.5,2023,670.6461637,,,
Angola,"Kenaf, and other textile bast fibres, raw or retted",2022,681,2023,734.9718916,,,
Angola,Maize (corn),2022,1120.3,2023,1173.823051,,,
Angola,"Mangoes, guavas and mangosteens",2022,11239.8,2023,10610.73189,,,
Angola,Millet,2022,234.6,2023,289.9237724,,,
